User ID,Timestamp,Action,Resource,Status,Compliant
vevmeaci,2023-01-01 00:22:19,View,Dashboard,Success,True
hgbzkohg,2023-01-01 00:22:20,View,Dashboard,Success,True
wzevjwew,2023-01-01 00:22:48,Login,Dashboard,Success,True
kqgznmls,2023-01-01 00:22:50,View,Documents,Success,True
qpdlcypl,2023-01-01 00:23:23,Access,Documents,Success,True
nkqqphxs,2023-01-01 00:25:05,Login,Dashboard,Success,True
ddzfdpow,2023-01-01 00:25:18,Delete,Financials,Unauthorized,False
bzqfzunh,2023-01-01 00:25:43,Access,Documents,Success,True
pgxxpykh,2023-01-01 00:26:08,Edit,Admin Panel,Unauthorized,False
lxirldsx,2023-01-01 00:26:12,Delete,Admin Panel,Unauthorized,False
vtyemzkl,2023-01-01 00:26:39,Access,Reports,Success,True
meuhdgvg,2023-01-01 00:26:41,Access,Dashboard,Success,True
swhpdroj,2023-01-01 00:27:01,Login,Reports,Success,True
lfwifyrq,2023-01-01 00:27:21,Access,Documents,Success,True
wdegyjsi,2023-01-01 00:27:35,View,Documents,Success,True
ighhnwlg,2023-01-01 00:27:41,Access,Dashboard,Success,True
mrvuunuc,2023-01-01 00:27:46,Delete,Admin Panel,Unauthorized,False
oefylyau,2023-01-01 00:27:47,Access,Reports,Success,True
tbkvrhxe,2023-01-01 00:27:52,Delete,Financials,Unauthorized,False
gpfkdsdl,2023-01-01 00:27:55,Delete,Admin Panel,Unauthorized,False
zupbrdew,2023-01-01 00:28:13,Edit,Admin Panel,Unauthorized,False
ehbcfkvq,2023-01-01 00:28:29,View,Admin Panel,Unauthorized,False
cffrcahm,2023-01-01 00:28:56,Login,Dashboard,Success,True
gegxhfvy,2023-01-01 00:29:17,View,Dashboard,Success,True
fqfylojw,2023-01-01 00:31:01,View,Admin Panel,Success,False
nwhmkfcn,2023-01-01 00:31:18,Login,Reports,Success,True
oxmpgpms,2023-01-01 00:31:49,Access,Documents,Success,True
hbpvgbqx,2023-01-01 00:32:02,Access,Financials,Success,False
zilcnkxw,2023-01-01 00:32:39,Login,Admin Panel,Unauthorized,False
nhcvuspf,2023-01-01 00:32:40,Delete,Financials,Unauthorized,False
ladzwwqj,2023-01-01 00:32:47,Login,Reports,Success,True
itdigabm,2023-01-01 00:32:57,Access,Dashboard,Success,True
mlkundra,2023-01-01 00:33:37,View,Reports,Success,True
kaztlplz,2023-01-01 00:33:37,Delete,Admin Panel,Success,False
tejqvomg,2023-01-01 00:34:10,View,Admin Panel,Unauthorized,False
rnllquph,2023-01-01 00:34:17,Login,Documents,Success,True
zbhnmttv,2023-01-01 00:34:22,Login,Financials,Unauthorized,False
hiqnmskr,2023-01-01 00:34:25,Edit,Financials,Unauthorized,False
dtveovir,2023-01-01 00:34:38,Access,Financials,Unauthorized,False
bcovdtmo,2023-01-01 00:35:08,Delete,Admin Panel,Unauthorized,False
wpndqsxr,2023-01-01 00:35:30,Delete,Admin Panel,Unauthorized,False
hxaghkkw,2023-01-01 00:35:52,Edit,Financials,Success,False
qnslkhdk,2023-01-01 00:35:54,Access,Reports,Success,True
kgwfwqfb,2023-01-01 00:36:04,Login,Documents,Success,True
olrjomei,2023-01-01 00:36:14,Edit,Financials,Unauthorized,False
cgznbnuj,2023-01-01 00:36:17,Delete,Admin Panel,Success,False
wzbpfuxo,2023-01-01 00:36:36,Access,Dashboard,Success,True
xtvpsmtt,2023-01-01 00:36:48,Access,Dashboard,Success,True
evojtwmn,2023-01-01 00:36:50,Access,Financials,Unauthorized,False
eqdmalql,2023-01-01 00:36:59,Login,Admin Panel,Success,False
eogpkfvw,2023-01-01 00:37:06,View,Admin Panel,Unauthorized,False
eywnqnsr,2023-01-01 00:37:30,Login,Documents,Success,True
orcaloyl,2023-01-01 00:37:36,Access,Documents,Success,True
lhikfjdp,2023-01-01 00:38:48,View,Reports,Success,True
zxmemptm,2023-01-01 00:38:54,View,Reports,Success,True
amdvpcia,2023-01-01 00:39:37,Edit,Financials,Unauthorized,False
heejqiwf,2023-01-01 00:40:49,Login,Financials,Success,False
hcvhvwbr,2023-01-01 00:41:01,Access,Reports,Success,True
bslthfto,2023-01-01 00:41:22,Access,Documents,Success,True
sxmadjwv,2023-01-01 00:41:30,Edit,Admin Panel,Success,False
ralkbtdp,2023-01-01 00:41:45,Delete,Financials,Unauthorized,False
fafxoonp,2023-01-01 00:42:09,Login,Documents,Success,True
nbuvdhvr,2023-01-01 00:42:42,Access,Documents,Success,True
dudaojfu,2023-01-01 00:42:57,Delete,Financials,Unauthorized,False
nknwqjip,2023-01-01 00:42:58,View,Admin Panel,Unauthorized,False
lqwqqlvc,2023-01-01 00:43:25,Login,Reports,Success,True
vldgoiwr,2023-01-01 00:43:42,Edit,Admin Panel,Unauthorized,False
ozbqsfzf,2023-01-01 00:43:50,Access,Reports,Success,True
oqbtnssm,2023-01-01 00:43:54,View,Documents,Success,True
xrinoqvw,2023-01-01 00:44:38,Delete,Financials,Success,False
tsqwmnpk,2023-01-01 00:45:07,Delete,Admin Panel,Unauthorized,False
ynpgwuay,2023-01-01 00:45:49,Edit,Financials,Unauthorized,False
sxvgnquq,2023-01-01 00:46:06,Delete,Financials,Unauthorized,False
pwtqwjmt,2023-01-01 00:46:20,Login,Admin Panel,Unauthorized,False
kbornmto,2023-01-01 00:46:21,Delete,Financials,Unauthorized,False
rofqhcdj,2023-01-01 00:46:21,Access,Financials,Unauthorized,False
nunfkhov,2023-01-01 00:46:35,View,Reports,Success,True
edziwige,2023-01-01 00:46:40,Login,Documents,Success,True
fraidaci,2023-01-01 00:46:47,Access,Financials,Unauthorized,False
jhsczqwl,2023-01-01 00:47:05,View,Dashboard,Success,True
xowrauzx,2023-01-01 00:47:17,View,Admin Panel,Unauthorized,False
ablygyhh,2023-01-01 00:47:17,Access,Reports,Success,True
harfatni,2023-01-01 00:47:44,Login,Financials,Unauthorized,False
dwgjsfji,2023-01-01 00:47:58,Login,Documents,Success,True
grkehihb,2023-01-01 00:48:29,Access,Dashboard,Success,True
bgmcocen,2023-01-01 00:48:30,View,Documents,Success,True
icqfeuhf,2023-01-01 00:48:30,Access,Financials,Unauthorized,False
bghzahny,2023-01-01 00:48:56,View,Documents,Success,True
fjakxtaq,2023-01-01 00:49:05,View,Documents,Success,True
xrhngkbp,2023-01-01 00:49:19,View,Dashboard,Success,True
tnlstizm,2023-01-01 00:49:19,View,Documents,Success,True
mwfiuevm,2023-01-01 00:49:35,Edit,Financials,Unauthorized,False
qwcrtppe,2023-01-01 00:49:35,View,Documents,Success,True
yifgivxn,2023-01-01 00:50:19,Login,Documents,Success,True
mkibadta,2023-01-01 00:50:41,Login,Financials,Unauthorized,False
fmzosojr,2023-01-01 00:50:51,Access,Dashboard,Success,True
txueqetr,2023-01-01 00:50:53,Edit,Admin Panel,Success,False
wtbrgbwl,2023-01-01 00:50:58,Edit,Admin Panel,Success,False
nubbwten,2023-01-01 00:51:03,Delete,Admin Panel,Unauthorized,False
qoghevgh,2023-01-01 00:51:06,Access,Documents,Success,True
pyrbtmzx,2023-01-01 00:51:14,Access,Admin Panel,Unauthorized,False
aajnfose,2023-01-01 00:51:53,Delete,Admin Panel,Success,False
qnjpqugy,2023-01-01 00:52:02,Login,Financials,Unauthorized,False
cadqxuxv,2023-01-01 00:52:46,Access,Documents,Success,True
tmoevdhs,2023-01-01 00:53:06,Access,Reports,Success,True
caobelye,2023-01-01 00:53:07,Delete,Financials,Success,False
ufjlkern,2023-01-01 00:53:09,Delete,Admin Panel,Unauthorized,False
cqinrzeo,2023-01-01 00:53:11,Access,Dashboard,Success,True
olhypedc,2023-01-01 00:53:16,Delete,Admin Panel,Unauthorized,False
krmuldzk,2023-01-01 00:53:19,Login,Documents,Success,True
yytzbxyx,2023-01-01 00:54:09,Access,Financials,Success,False
bpykavfg,2023-01-01 00:54:10,Access,Reports,Success,True
clsvqlxq,2023-01-01 00:54:14,Access,Dashboard,Success,True
xpcrgwcc,2023-01-01 00:54:23,Login,Admin Panel,Success,False
izuwllxx,2023-01-01 00:54:24,Login,Admin Panel,Success,False
kpyjrgtz,2023-01-01 00:54:40,View,Dashboard,Success,True
sxbomdty,2023-01-01 00:54:46,Delete,Admin Panel,Success,False
igascjgj,2023-01-01 00:54:53,Edit,Admin Panel,Unauthorized,False
rteadfje,2023-01-01 00:55:08,Edit,Financials,Unauthorized,False
qwsdolkz,2023-01-01 00:55:26,View,Admin Panel,Success,False
ytwupbbg,2023-01-01 00:55:46,Access,Dashboard,Success,True
incwceml,2023-01-01 00:55:53,View,Dashboard,Success,True
uefilpzw,2023-01-01 00:56:11,Edit,Admin Panel,Success,False
muepsyzu,2023-01-01 00:56:16,View,Reports,Success,True
llhsinjd,2023-01-01 00:56:23,Access,Documents,Success,True
cogbwoss,2023-01-01 00:56:28,Access,Admin Panel,Unauthorized,False
hjfuikiu,2023-01-01 00:56:29,View,Documents,Success,True
henhsvwp,2023-01-01 00:56:30,View,Documents,Success,True
ievcffbt,2023-01-01 00:56:46,Login,Reports,Success,True
samgxjsy,2023-01-01 00:56:51,View,Dashboard,Success,True
nvahyhkp,2023-01-01 00:57:27,Login,Documents,Success,True
tdnpicuc,2023-01-01 00:57:39,View,Dashboard,Success,True
dbxoteon,2023-01-01 00:57:53,Access,Documents,Success,True
tslmrqeb,2023-01-01 00:57:55,Access,Admin Panel,Unauthorized,False
maqiorqk,2023-01-01 00:58:13,View,Reports,Success,True
hfoepaxs,2023-01-01 00:58:31,Delete,Financials,Unauthorized,False
qwpwcsdy,2023-01-01 00:58:34,Delete,Admin Panel,Success,False
nocdlqzd,2023-01-01 00:58:37,Access,Reports,Success,True
hqxwjlsz,2023-01-01 00:59:14,Edit,Admin Panel,Unauthorized,False
zhgwdudl,2023-01-01 01:00:08,View,Reports,Success,True
sfyrrglh,2023-01-01 01:00:55,Delete,Financials,Unauthorized,False
huhpoixx,2023-01-01 01:01:43,View,Reports,Success,True
wvbbajoh,2023-01-01 01:01:51,Access,Documents,Success,True
zmvytmbh,2023-01-01 01:01:54,Access,Dashboard,Success,True
yaimzhfj,2023-01-01 01:02:00,Access,Reports,Success,True
alsgvjep,2023-01-01 01:02:46,Login,Documents,Success,True
sjmqutzs,2023-01-01 01:03:06,Login,Dashboard,Success,True
bayhajqx,2023-01-01 01:03:36,View,Dashboard,Success,True
mmwytowh,2023-01-01 01:03:47,View,Dashboard,Success,True
jjuigcan,2023-01-01 01:03:58,Edit,Financials,Unauthorized,False
mshrghed,2023-01-01 01:04:13,Login,Documents,Success,True
kmtxysfu,2023-01-01 01:04:39,View,Documents,Success,True
oxtbjmii,2023-01-01 01:04:40,View,Dashboard,Success,True
xdvgnojs,2023-01-01 01:04:47,Login,Admin Panel,Unauthorized,False
nhbehoig,2023-01-01 01:05:28,Access,Documents,Success,True
gpyumrls,2023-01-01 01:05:44,View,Financials,Success,False
hhmqerfy,2023-01-01 01:06:26,Login,Dashboard,Success,True
tfthepxa,2023-01-01 01:06:55,Access,Financials,Unauthorized,False
xyhpmwbj,2023-01-01 01:07:18,Login,Documents,Success,True
jeyrrant,2023-01-01 01:07:34,View,Reports,Success,True
pfvqknrk,2023-01-01 01:07:35,Access,Dashboard,Success,True
yvscdkan,2023-01-01 01:08:35,View,Admin Panel,Unauthorized,False
qtbpyyzb,2023-01-01 01:08:36,Access,Financials,Unauthorized,False
jcelcqpd,2023-01-01 01:08:42,Access,Dashboard,Success,True
tgwytyhn,2023-01-01 01:08:50,View,Documents,Success,True
hnjkfqbw,2023-01-01 01:09:05,View,Dashboard,Success,True
kvqhcjjf,2023-01-01 01:09:15,Login,Documents,Success,True
wawijaxg,2023-01-01 01:09:25,Access,Reports,Success,True
wswmwgqg,2023-01-01 01:09:33,Delete,Financials,Unauthorized,False
riflbvqk,2023-01-01 01:10:56,Edit,Admin Panel,Unauthorized,False
spxnayzc,2023-01-01 01:11:32,Edit,Financials,Unauthorized,False
vuektthj,2023-01-01 01:11:36,View,Admin Panel,Success,False
wczuqqfs,2023-01-01 01:11:45,View,Documents,Success,True
tnddmjdl,2023-01-01 01:11:46,Login,Dashboard,Success,True
hsmkksca,2023-01-01 01:11:55,Login,Dashboard,Success,True
qasgizyn,2023-01-01 01:12:08,Access,Documents,Success,True
xkzwmztd,2023-01-01 01:12:20,Delete,Admin Panel,Unauthorized,False
vpuzxpxf,2023-01-01 01:12:42,Login,Documents,Success,True
eaavgiov,2023-01-01 01:13:20,View,Dashboard,Success,True
svnpusug,2023-01-01 01:13:21,Edit,Admin Panel,Unauthorized,False
anggjpnr,2023-01-01 01:13:25,View,Dashboard,Success,True
xrkcvcik,2023-01-01 01:13:35,Delete,Admin Panel,Unauthorized,False
mclyxbor,2023-01-01 01:13:38,Edit,Admin Panel,Unauthorized,False
lyezibix,2023-01-01 01:13:55,Edit,Admin Panel,Success,False
ijgiinlf,2023-01-01 01:14:31,Edit,Admin Panel,Unauthorized,False
nplliups,2023-01-01 01:14:55,Delete,Admin Panel,Success,False
lnhsnhvn,2023-01-01 01:15:12,View,Financials,Unauthorized,False
uotzmfbq,2023-01-01 01:15:25,View,Financials,Success,False
xczpyepj,2023-01-01 01:15:33,Access,Documents,Success,True
mqapsypi,2023-01-01 01:15:44,View,Reports,Success,True
hbmfvjvr,2023-01-01 01:16:01,Access,Dashboard,Success,True
qgcerbvb,2023-01-01 01:17:14,View,Reports,Success,True
dqryzuus,2023-01-01 01:17:34,View,Financials,Unauthorized,False
jmrjgevs,2023-01-01 01:18:19,Access,Reports,Success,True
orodfnye,2023-01-01 01:18:29,Delete,Admin Panel,Unauthorized,False
nddeuuei,2023-01-01 01:18:29,View,Financials,Unauthorized,False
iawfwdtz,2023-01-01 01:18:30,Edit,Admin Panel,Unauthorized,False
evqlpdtl,2023-01-01 01:18:33,Delete,Admin Panel,Unauthorized,False
fcjvveoy,2023-01-01 01:18:42,Login,Reports,Success,True
zodilgqc,2023-01-01 01:18:45,Access,Documents,Success,True
jswoxymb,2023-01-01 01:19:00,Access,Documents,Success,True
pvljzjar,2023-01-01 01:19:01,View,Documents,Success,True
nmvnnhys,2023-01-01 01:19:13,Login,Documents,Success,True
fougroll,2023-01-01 01:19:46,View,Reports,Success,True
jdwzeizw,2023-01-01 01:19:49,Access,Documents,Success,True
vlqozkvc,2023-01-01 01:20:01,Login,Documents,Success,True
cpyzsvcd,2023-01-01 01:20:21,Access,Dashboard,Success,True
hqtnuazw,2023-01-01 01:20:27,Access,Documents,Success,True
ilaceecl,2023-01-01 01:21:34,View,Dashboard,Success,True
vsvggbai,2023-01-01 01:21:55,Edit,Admin Panel,Unauthorized,False
lybpbxmm,2023-01-01 01:22:07,Login,Admin Panel,Unauthorized,False
wjetcugh,2023-01-01 01:22:11,View,Reports,Success,True
wnqwowho,2023-01-01 01:22:16,Delete,Financials,Unauthorized,False
aaqphhyp,2023-01-01 01:22:27,Delete,Admin Panel,Unauthorized,False
zptzlslr,2023-01-01 01:22:55,View,Admin Panel,Unauthorized,False
eusrrquw,2023-01-01 01:23:42,Access,Reports,Success,True
erpkvnpl,2023-01-01 01:23:46,Edit,Financials,Success,False
cxcwyylx,2023-01-01 01:24:04,Edit,Financials,Unauthorized,False
ifyzptrw,2023-01-01 01:24:38,Access,Documents,Success,True
sjeusmpr,2023-01-01 01:24:47,Delete,Admin Panel,Unauthorized,False
tpftrfbk,2023-01-01 01:25:17,Delete,Financials,Success,False
hdczzejn,2023-01-01 01:25:25,Access,Admin Panel,Unauthorized,False
mxnailme,2023-01-01 01:25:34,Delete,Financials,Unauthorized,False
fitvvjsb,2023-01-01 01:25:42,Delete,Financials,Unauthorized,False
xcxmidrl,2023-01-01 01:26:11,Access,Reports,Success,True
uljkocgr,2023-01-01 01:26:25,Access,Dashboard,Success,True
achtsoxo,2023-01-01 01:26:26,Login,Dashboard,Success,True
yglkbkrw,2023-01-01 01:26:49,Access,Financials,Unauthorized,False
zfgobriw,2023-01-01 01:26:49,Access,Dashboard,Success,True
ksmgjhst,2023-01-01 01:26:59,Access,Admin Panel,Unauthorized,False
cwocvfpa,2023-01-01 01:27:40,View,Reports,Success,True
ulyinnyb,2023-01-01 01:27:50,Access,Financials,Unauthorized,False
ylhkwgmw,2023-01-01 01:28:18,Access,Financials,Unauthorized,False
jqgrwrzi,2023-01-01 01:28:52,Delete,Financials,Unauthorized,False
wuuvffhy,2023-01-01 01:28:54,Access,Reports,Success,True
ntgzppgy,2023-01-01 01:29:00,Access,Documents,Success,True
ybvbbkug,2023-01-01 01:29:26,Edit,Admin Panel,Success,False
hlapftpq,2023-01-01 01:29:49,View,Documents,Success,True
vosvexpt,2023-01-01 01:29:55,Edit,Admin Panel,Unauthorized,False
ehvsiodv,2023-01-01 01:30:30,Login,Dashboard,Success,True
kqseozqo,2023-01-01 01:30:37,View,Dashboard,Success,True
oezijymy,2023-01-01 01:30:39,Login,Reports,Success,True
iutbqcrf,2023-01-01 01:30:41,Login,Reports,Success,True
zmvtjppi,2023-01-01 01:30:49,Access,Dashboard,Success,True
njnrggmv,2023-01-01 01:31:06,Access,Dashboard,Success,True
usltcxhn,2023-01-01 01:31:38,View,Admin Panel,Unauthorized,False
yexpbokq,2023-01-01 01:31:39,Access,Financials,Success,False
bbbrmpyc,2023-01-01 01:31:43,Access,Financials,Unauthorized,False
mzhrbvsy,2023-01-01 01:31:57,Login,Financials,Unauthorized,False
zqihsfwd,2023-01-01 01:32:01,Access,Admin Panel,Success,False
dlkkrfgt,2023-01-01 01:32:02,Access,Documents,Success,True
uthkkepg,2023-01-01 01:32:11,View,Admin Panel,Unauthorized,False
sezivvgl,2023-01-01 01:32:13,View,Financials,Success,False
mloudjyv,2023-01-01 01:32:22,Access,Documents,Success,True
fbasidgk,2023-01-01 01:32:51,View,Admin Panel,Unauthorized,False
fajrzwqz,2023-01-01 01:32:59,Access,Documents,Success,True
jmjvnhxq,2023-01-01 01:33:33,Login,Dashboard,Success,True
snjfzzby,2023-01-01 01:33:51,Delete,Financials,Unauthorized,False
dnedqpna,2023-01-01 01:35:17,Login,Reports,Success,True
zkauisbc,2023-01-01 01:35:38,Access,Dashboard,Success,True
yadsslmw,2023-01-01 01:35:54,Access,Dashboard,Success,True
toryanpm,2023-01-01 01:36:33,Login,Financials,Unauthorized,False
kbuqewaz,2023-01-01 01:37:51,Delete,Financials,Unauthorized,False
hfsyqeza,2023-01-01 01:38:11,Login,Reports,Success,True
msjqnipo,2023-01-01 01:38:18,Edit,Admin Panel,Unauthorized,False
taegwtbs,2023-01-01 01:38:25,Access,Dashboard,Success,True
ydlwbwvv,2023-01-01 01:39:04,Access,Documents,Success,True
izibffwb,2023-01-01 01:39:06,View,Financials,Success,False
iwumnove,2023-01-01 01:39:12,Edit,Admin Panel,Success,False
kqinvzot,2023-01-01 01:40:07,View,Documents,Success,True
sguozdkb,2023-01-01 01:40:12,Access,Reports,Success,True
ptwllgts,2023-01-01 01:40:27,Access,Documents,Success,True
qtwzmwmu,2023-01-01 01:40:36,View,Dashboard,Success,True
harxznkq,2023-01-01 01:41:06,Delete,Admin Panel,Success,False
vcpxgzmo,2023-01-01 01:41:34,Edit,Admin Panel,Unauthorized,False
pwsfgfrt,2023-01-01 01:41:45,Edit,Financials,Success,False
njjzhhvq,2023-01-01 01:42:42,View,Reports,Success,True
lvadcfbl,2023-01-01 01:44:01,View,Reports,Success,True
bliorkll,2023-01-01 01:44:12,Access,Admin Panel,Unauthorized,False
bhfjpjte,2023-01-01 01:44:38,View,Financials,Unauthorized,False
xrchdrcq,2023-01-01 01:44:45,Access,Reports,Success,True
dmgxjiqj,2023-01-01 01:44:49,View,Reports,Success,True
yuhqgadv,2023-01-01 01:45:12,Access,Documents,Success,True
zuujovdt,2023-01-01 01:45:34,Delete,Admin Panel,Unauthorized,False
bukxfsbw,2023-01-01 01:45:47,Access,Documents,Success,True
rpqmdogz,2023-01-01 01:45:49,View,Dashboard,Success,True
arbqmifo,2023-01-01 01:45:55,View,Dashboard,Success,True
pozckzvq,2023-01-01 01:45:57,Access,Financials,Unauthorized,False
ugtcbxra,2023-01-01 01:46:03,View,Documents,Success,True
nehzljel,2023-01-01 01:46:31,Access,Reports,Success,True
peqzldot,2023-01-01 01:47:12,View,Documents,Success,True
mvghzqkt,2023-01-01 01:47:40,Login,Financials,Unauthorized,False
xiydcsjz,2023-01-01 01:47:41,Delete,Admin Panel,Unauthorized,False
oexmggvy,2023-01-01 01:48:33,Login,Dashboard,Success,True
rutjyqli,2023-01-01 01:49:22,Access,Dashboard,Success,True
aoniwqjo,2023-01-01 01:50:02,Login,Financials,Unauthorized,False
fojwuieh,2023-01-01 01:51:25,Edit,Financials,Unauthorized,False
ttgvzesh,2023-01-01 01:51:40,Access,Dashboard,Success,True
gnxbllbg,2023-01-01 01:51:49,Login,Reports,Success,True
wkyfyjst,2023-01-01 01:52:06,Access,Dashboard,Success,True
kvctkdgz,2023-01-01 01:52:29,Access,Reports,Success,True
jthckyyr,2023-01-01 01:52:32,Delete,Financials,Unauthorized,False
ftikceju,2023-01-01 01:52:56,Access,Reports,Success,True
ujrtowje,2023-01-01 01:53:14,View,Admin Panel,Unauthorized,False
icjokngx,2023-01-01 01:53:16,Access,Financials,Unauthorized,False
dptztzrp,2023-01-01 01:53:36,View,Documents,Success,True
gsewfutu,2023-01-01 01:54:28,View,Financials,Unauthorized,False
gaeipkap,2023-01-01 01:54:31,Login,Dashboard,Success,True
lfglcwyx,2023-01-01 01:55:20,Delete,Financials,Unauthorized,False
edbxebxn,2023-01-01 01:55:35,View,Reports,Success,True
dncubtco,2023-01-01 01:56:15,Edit,Admin Panel,Unauthorized,False
hlgajdrc,2023-01-01 01:56:55,View,Reports,Success,True
iqjyuuta,2023-01-01 01:57:22,Login,Dashboard,Success,True
xzklqmvc,2023-01-01 01:57:51,Login,Documents,Success,True
sddilutp,2023-01-01 01:57:53,View,Dashboard,Success,True
ayhlbzwg,2023-01-01 01:58:18,Edit,Financials,Success,False
hlfjcbge,2023-01-01 01:58:23,Access,Reports,Success,True
wzyvtonq,2023-01-01 01:58:44,Edit,Admin Panel,Unauthorized,False
ftwvglan,2023-01-01 01:59:09,Access,Reports,Success,True
mjvaxcpw,2023-01-01 01:59:09,Access,Reports,Success,True
jigvmyft,2023-01-01 01:59:32,Edit,Admin Panel,Unauthorized,False
lzxwckgn,2023-01-01 01:59:39,Delete,Financials,Unauthorized,False
rdhrkdxs,2023-01-01 01:59:45,View,Admin Panel,Success,False
txkecvdh,2023-01-01 02:00:02,Access,Documents,Success,True
uqzryoso,2023-01-01 02:00:13,Login,Financials,Unauthorized,False
